"title","content","date","variant","images","verified","author","rating","product","url"
"Buggy not what I was expecting","Fantastic packaging and everything is so simple, everything is laid out for you instructions wise, it even has an app that lets you control the camera it’s great! EXCEPT Out the box this camera was buggy. I want continuous recording on an SD card and this camera is very capable of doing that and it fails miserably at it. First issue was camera not recognizing my Sd cards I had 5 different SD cards ranging from 2gb to 128gb made by Samsung and other name brands I can’t remember but all 5 failed to be recognized by the camera. After I updated the camera and reformatted all my sd cards the camera found them, great on to the next step. I mounted the camera to watch a squirrel feeder and the camera comes with a 14day trial of premium or whatever, it alerts for motion detection great. First time using it worked out well, it recoded everything from before the first motion happened till whenever I told it to stop. So once I got my footage off the app I made sure the camera was still (in theory) continuously recoding and went about my day. 4 hours later “motion detected” showed me a snap shot of what was moving and I proceeded to look towards the app to see what happened or what was moving. And boom “no video at selected time”... Great so what I get no video of what happened or anything? I pull the SD card and I find my first video and it plays fine it’s properly formatted and it’s in about 1 minut segments. As for anything else after this first video which was only 4 minutes is unplayable, giving me an error on my computer it’s not formatted properly.(not sure what this is) This is my first impression of this camera so far I will update when or if it’s necessary, I’ve seen plenty of video saying how great this thing is and everything works blah blah blah, no go look at people trying to troubleshoot this you’ll find full forums of people trying to figure this thing out. I figured wyze has their isshhh together since this is the v3. UPDATE*** After fidgeting with the camera it would only capture the first 1/4 of the day on continuous recording then later in the day it switches to recording 1 min of every 10mins? Not sure what that is but it’s not recording everything and I’m losing patience with this thing, problems are hard to diagnose as the menu system or app is too simple and doesn’t give you any real information like a go pro would granted 30$ to 300$... either way... I can’t recommend thing if this is going to be a thing for security...","16 Mar 2021","Style: Wyze Cam v3","","Yes","Jesse","1.0","Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT","https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/product-reviews/B08R59YH7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"It's superior to v2.  It is.","It seems to cue up in the app faster than v2, the night vision also works extremely well. But I want to explain, since I see some people saying color night vision doesn't work.  No, it works...but you didn't follow the instructions.  Thus let me help you out. You see, ""color night vision"" is not actually night vision. What? I said color night vision is NOT actually ""night vision"". TO understand, you need to understand ""light"". Night vision works by using infrared light, which is seen by the camera lens (but not the naked eye).  That's why you can't use an IR light for a camera facing a window; it's just going to reflect itself. TO solve this, you could put an IR blaster outdoors, but pretty much all of them require hardwire power.  Which defeats the purpose since a baddie could just cut the power. Enter ""color night vision"" - which again is not night vision. Cameras, all cameras, have a sensor.  This sensor needs light - regular light.  It behaves very similar to your eye; you can't see things without light.  The more light, the easier it is to see things. However, sometimes you can't increase the light level, yet you still need to see objects. In camera tech this is done by way of ISO, which is essentially a setting that tells the camera to compensate for lighting conditions - you can make things appear ""brighter"" or ""darker"". So...you combine a larger sensor with a higher ISO, and what you get...is ""color night vision"". In other words, all the camera's doing is amplifying whatever ambient light is there in order to improve the picture. ...ah, I see it's clicking to you now. TO use color night vision, NIGHT VISION SHOULD BE OFF.  Not ""on"", not ""auto"".  OFF. I know this doesn't make sense due to the naming.  But trust me on this. If you leave it ""auto"" the camera will sense that there's not enough light and just go to regular night vision (which will be black and white because color is not perceived through IR lighting.  Remember, IR sensors can't see the full spectrum of color). If you turn it off, the camera will simply adjust ISO based on whatever lighting is there and that's what you get. Now, you have to be realistic.  If there's literally NO ambient lighting whatsoever - I'm talking pitch black, no stars, no moon, NOTHING - you might as well do regular night vision with IR.  Or just get some light in there.  It doesn't need to be a lot - the side of my house has a single Phillips Hue bulb set at the lowest and I get full brightness through color night vision. SUMMARY:  color night vision needs at least some light to actually work, AND you must turn regular night vision OFF.","28 Mar 2021","Style: Wyze Cam v3","","Yes","Tempting Reviews","5.0","Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT","https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/product-reviews/B08R59YH7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"Read before you buy","This camera quality is awesome. As far as using for security forget about it. I have 3 indoor camera that work great. I bought 2 cam v3 for outside. They are basically junk they alert you on bugs, tree blowing, lights from cars shining on trees. Unless you have a yard without anything blowing or bugs flying around then don’t bother for security. I’m talking about events happening non stop all night long. I set the security all the way down and didn’t help at all. Ive watch 50 videos with nothing in them. Day time i think is fine so hopefully if you have criminals in your neighborhood they only work during the day.","20 Mar 2021","Style: Wyze Cam v3","","Yes","tom8100","1.0","Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT","https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/product-reviews/B08R59YH7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"Not alexa compatible, apparnetly","I linked the camera to the Wyze app (and its working). I linked the app to Alexa (and it says connected). I've said ""Alexa discover devices"" multple times, every time nothing. Alexa show me Front Porch (the camera name) Alexa responds ""Sorry, I didn't find a device named front porch"". Unlinking & re-linking did nothing. The closest thing to support I found says: Note: You must have a Wyze Cam v2 or Wyze Cam Pan to connect with Amazon Alexa Which I guess means v3 is NOT compatible...","17 Mar 2021","Style: Wyze Cam v3","","Yes","Bobby Thompson Rocks","1.0","Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT","https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/product-reviews/B08R59YH7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"Cam Plus Doesn’t Work","We ordered 3 of the V3 cameras. I’ve got to say the clarity and night vision are awesome. We don’t get night vision in color though. Also when you set them up make sure you have SD cards because cam plus is an absolute JOKE. You get nothing but error codes on the event videos that make these cameras worth the money. For instance if someone was breaking into your home the camera would alert you but then it would throw up an error code that it cannot retrieve the event video from the cloud. You can still watch the person come in on the cam if you know that is what is happening. I had faith in Wyze but we are so frustrated with not being able to see the event videos that we want to return them","17 Mar 2021","Style: Wyze Cam v3","https://images-na.ssl-images-amazon.com/images/I/61a6RV+Q8sL._SY88.jpg","Yes","Dylan Mills","1.0","Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT","https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/product-reviews/B08R59YH7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"Night color feature doesn't work","Video quality is better then their v2 cameras, but I bought this for the full color night vision recording but as you can see in the picture that feature doesn't seem to be working just looks like normal night vision and that's with the IR light off. Very disappointed hopefully something will be updated in the software","13 Mar 2021","Style: Wyze Cam v3","https://images-na.ssl-images-amazon.com/images/I/81+XA6+Q-2L._SY88.jpg","Yes","moo","3.0","Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT","https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/product-reviews/B08R59YH7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"TOTAL FAILURE despite 4 working v2 WYZE cams","Cam v3 failed WiFi connection despite 5 attempts and although I have 4 other WYZE V2 cams working perfectly! FYI, I tried both my 5Ghz and 2.4Ghz WiFi channels, 4 code scans, unplugged unit 3 times to start over from scratch. VERY DISAPPOINTING. fyi, THERE ARE A FEW PHYSICAL DIFFERANCES BETWEEN V3 AND PRIOR VERSIONS: 1. V3 has a permanently connected short USB cable 2. V3 base/stand fits into the camera 3. V3 reset/setup button is a rubbery thing vs the older movable plastic piece However, v2 and v3 appear to be exact same outside dimension which means v3 should fit into an outdoor weatherproof housing made for v2 cam.","28 Mar 2021","Style: Wyze Cam v3","","Yes","Consumer Advocate","1.0","Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT","https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/product-reviews/B08R59YH7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"AMAZING pictures and night image, sound is low and unrealiable","I wanted a cheap home monitoring setup, and this camera is an AMAZING VALUE.  for under 30 dollars you get a HD camera that is wireless (although powered with a USB cable) that can record continuously on a micro SD card (up to 32 GB). The V3 has great images, a decent frame rate, two way audio with an 80 db siren you can activate.  The night feature means that even without ANY light, you can clearly see things happening. The trick that Wyze does is give you 3 weeks of their cloud recording to spoil you with ready access to all recording, when without the paid subscription you only get a 12 second video every 5 minutes, which is stored for 14 days, which is not bad.  I'm getting used to the subscription bonuses and may well decide to spend the money to keep them.  For someone who is only interested in coming home to review what the cat did all day, you might decide not to spend the money on the subscription. If you choose to put an SD card into the camera it will record 24/7 (and delete the oldest footage when it gets full) but you have to remove the card to put it into a device to see the recordings.  If someone steals the camera AND the SD card you may be out of luck to see who did it. The subscription is only $1.25 per month per camera and you get unlimited cloud recording plus a bunch of notification features such as alerts when the camera hears Carbon monoxide or Smoke detectors alarms. The audio features of this camera are its weakest feature.  Crackly audio or dropout is common, and its best to place the camera where is has fewer walls for the wifi signal to pass through.  The V3 only transmits on a 2.4 ghz signal (which is better for passing through walls anyway, but if it's outside you can sometimes make a big difference in connectivity by shifting the camera a few feet.  The data on the camera image shows how much data is being sent at any given moment, and if you don't have a solid data connection the audio suffers. Also, the audio volume from the camera to whoever your are talking to is fairly low, so above a certain height and distance they won't be able to understand what you are saying.  If you mounted in at eye height by your door, visitors would probably not have a problem hearing you, provided the camera has a solid wifi connection. This camera has SUPER night imaging capability, and switches from black and white night mode to color night mode if it detects motion.  You set the detection level for each camera so that minor movements like branches waving in the wind don't result in unwanted alerts.  You can also set audio trigger thresholds depending on the environment.  My camera looks at a 60 watt light fixture and manages to not become totally blown out. Setting up the cameras is very easy, you install the app and create an account, then push the setup button under the camera and log into your wifi.  A code is sent to your registered email account that gives you control of the camera, and even offers an optional two-step login to prevent possible hacking of your system.  As it stands, even the single stage login feels pretty secure, but it's nice to have the option, which you can turn on later. Each registered camera appears on your app screen, and you pick the camera you want to look at or configure and tap on it.  managing 6 cameras is as easy as one camera, even if it seems repetitious to have to individually configure each camera separately. These cameras are made to work outdoors and are IP66 rated, so dust and moisture should not be a problem, but I do intend to protect mine by mounting them where they will have some overhead cover from the elements. If you want an inexpensive home monitoring system that doesn't actually require a subscription (though you will probably WANT the subscription) then I haven't seen anything that approaches the V3.","02 May 2021","Style: Wyze Cam v3","https://images-na.ssl-images-amazon.com/images/I/61f-w6Dy+zL._SY88.jpg","Yes","Bradikal","4.0","Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT","https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/product-reviews/B08R59YH7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"Unusable due to poor sound quality. Audio is not functional. Only static.","I purchased this camera to use as a baby monitor. Unfortunately, the picture quality is great but there is a constant static sound when the sound is turned on via the app. This effectively renders the camera unusable as I need sound to monitor in addition to video. I tried moving closer to WiFi, resetting, no effect. Will return unless support can offer a solution. Unfortunately also, it appears from searching online that this is a common issue that has existed since the cameras were released without any solution yet. UPDATE 5/19/2021: I spoke to Wyze and was sent a replacement. The second V3 has the identical problem to the first, nothing but garbled static for sound. After researching online it appears this is probably the case with all their cameras (V2 and pan) but most people are not using them for audio recording. This is a total deal breaker for me as Wyze obviously knows of this issue but chooses the same poor components for new products.","04 Apr 2021","Style: Wyze Cam v3","","Yes","Heather N.","1.0","Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT","https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/product-reviews/B08R59YH7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"Great price but need improvements","I have a love/hate relationship with Wyze’s security cameras. I love the low cost of their cameras. It’s easy to install and setup. No subscription is required (but with limitations)! Live view, for the corded cameras, loads very quickly. I hate the significant notification delay when the camera detects motion. I’m talking about up to a minute delay (at times 2-3 minutes)!! So don’t expect to be able to speak with anyone through the camera because they’ll be gone by the time you get notified of their presence. I get a lot of false alerts. The camera detects “motion” from moving shadows and headlights at dusk. I live in the center of two busy streets so it’s difficult to aim the camera away from the passing cars on either side. At night, I’ll get notifications of every car that passes because of their headlights. During the day, adjusting the detection sensitivity reduces the amount of false alerts from cars. Error code 07 occurs a quote a few times which prevents video playback of an event. I also get missed motion detections. I had an amazon delivery today (March 26 at 10:18am) and 2 cameras failed to detect the driver. My last notification for the day was at 8am so it wasn’t caused by the “cool down” limit. The camera also has a short cord so you’ll need to purchase their extension kit if you don’t have an outlet within 5 ft of your installation spot. I also own 2 wireless outdoor cameras. One is installed on the side of the house without a nearby exterior outlet and the other camera is in front of the house on a tree that is roughly 15 ft from the house. Two weeks after installation, the battery percentage is at 80%. The live view loads a lot slower when compared to the wired cameras. It takes 15-20 seconds to load live view whereas the wired cameras load live view within 5 seconds.","26 Mar 2021","Style: Wyze Cam v3","https://images-na.ssl-images-amazon.com/images/I/71FOuCSZHYL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81Otl6kgX8L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81w1aVjDvSL._SY88.jpg","Yes","C. Donofrio","3.0","Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT","https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/product-reviews/B08R59YH7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2"
"Extremely disappointed, have to pay extra for worthwhile features","Extremely disappointed in this camera, under the impression it would take footage of individuals approaching your home. This was to be used overnight. I spent over 45 minutes speaking with a Wyze customer service representative, not once did she indicate I had to purchase their plan Cam Plus to record full-length videos, or  receive alerts when people are detected.  My intention was to obtain footage of any individual approaching the house. The only footage I get is  vehicles driving past our home or motion from trees, in our yard. If you want motion from an individual walking up the driveway to your porch, forget it, it didn't even catch the mailman coming up our walkway.  The time frame 12 seconds should be longer time, once it catches the 12 seconds video event, you  have to wait for it to reset. I purchased the Wyze 32GB microSDHC card, if you want it to film continuous footage, expect to spend the time watching minute by minute, to catch any activity. My point is, if you want a camera to catch vehicles and motion from trees,  this camera will fit the bill.","28 Mar 2021","Style: Wyze Cam v3","","Yes","MLK","1.0","Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT","https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/product-reviews/B08R59YH7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3"
"Wyze V3 vs Blink Mini","The picture series has Wyze first and Blink Mini 2nd in all shots. First pic is of both at my wall mount. First comparison is Image Quality as cameras capture in daytime. I am standing at 20 ft from cameras. Next enlargements are done by zooming thise images on IPhone 12 Pro Max and doing screen grab of each. Wyze wins with sharper images. Lastly is night vision comparison. Night vision is hugely better on Wyze. Why have a security camera if someone breaks in and their faces are blurry? Pros and cons: First Amazon owned Blink feels more solid product support wise, long term as its a bigger name with likely more resources. I had cheap Chinese MIPC based cameras before - what a joke! 2nd I don't want images in cloud. I want local discreet storage. The Blink system can give that with Bluetooth available USB sync module storage possibility. The Sync Module can be hidden in a outlet in a cabinet or a location not nearby. That is better than Wyze. Micro SD cards in camera (Wyze) mean suspect can steal them or destroy them easily - so this is a strike against Wyze. Lastly I don't like the pigtail on the Wyze V3. I know they did this for sealing/weather tightness. But they could still do a co injection molded sealed insertion of the connector at the camera body. Cameras should all have flat round common diameter bottoms, designed properly and have common interfaces for hookups and wire concealment in wire tracks. In this way they fit avariety of mounts. For wire concealment I use Legrand Cordmate C10 white wire channel it works very well. Standardize all interfaces please. So really neither has their act together 100%. But Wyze has most important feature, Image Quality, correct.","15 Apr 2021","Style: Wyze Cam v3","https://images-na.ssl-images-amazon.com/images/I/810aE5i3ynL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81AxB1srdkL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81oQ3iPgMCL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/91Anv9Hk+6L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/91FCHQ9qq5L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/91fXOTShsjL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/A1+YYlqnXzL._SY88.jpg","Yes","Rich in NC","4.0","Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT","https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/product-reviews/B08R59YH7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3"
"Constant Disconnects, missed recordings, false alerts.","After my terrible experience with Wyze v2’s, I decided to try out the v3’s. My logic was that it couldn’t get any worse. I was so wrong. Continuous disconnects, false alarm after false alarm, app lock ups, a bit rates dropping to below 10kbps. My Eufy 2k Indoor cameras  suffer ZERO of these issues, have better picture quality and cost $5 more. Save yourself the headache and ignore the flood of fake and paid reviews. I’m giving these to someone I hate so they can be their problem. 0/10. I’m done with Wyze.","04 Apr 2021","Style: Wyze Cam v3","","Yes","Grant Johnson","1.0","Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT","https://www.amazon.com/Vision-Indoor-Outdoor-Camera-Assistant/product-reviews/B08R59YH7W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3"
